"filename", "language", "C++", "JSON", "Dart", "HTML", "YAML", "CMake", "Markdown", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_booking.dart", "Dart", 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 295
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_scaffold.dart", "Dart", 0, 0, 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 571
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\auth_page.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 32
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\check_login_status.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\forgot_pw_page.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 109
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\signin_page.dart", "Dart", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 255
"g:\2.Programming\BITS Project\quick_shift\quick_shift\lib\screens\signup_page.dart", "Dart", 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 629
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"g:\2.Programming\BITS Project\quick_shift\quick_shift\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"g:\2.Programming\BITS Project\quick_shift\quick_shift\macos\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"g:\2.Programming\BITS Project\quick_shift\quick_shift\pubspec.yaml", "YAML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 59, 17, 110
